id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
1021714,"
		                Functional Nutrition Indor Корм для домашних кошек старше 1 года, с курицей и индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Mealfeel_suhoy_korm_dlya_koshek_Indoor_kuritsey_i_indeykoy.html?offer=44335,1649,825₽,Mealfeel
1021703,"
		                Adult Сухой корм для взрослых кошек, с курицей, 8 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Wellkiss_suhoy_korm_dlya_koshek_Senior_s_yagnenkom.html?offer=44339,Отсутствует,2500₽,Wellkiss
1021702,"
		                Sterilized Сухой корм для стерилизованных кошек, с ягненком, 3 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-sukhoy-dlya-sterilizovannykh-koshek-s-yagnenkom-8-kg.html?offer=44341,Отсутствует,1125₽,Wellkiss
1054528,"
		                Adult Exigent Корм сухой для привередливых кошек, с индейкой, 8 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-priveredlivyh-koshek-s-indeykoy.html?offer=148192,Отсутствует,2924₽,Wellkiss
1018445,"
		                Kitten Сухой корм для котят, с курицей, 400 гр.	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Wellkiss_korm_suhoy_korm_dlya_kotyat_kuritsey.html?offer=44160,Отсутствует,210₽,Wellkiss
1039281,"
		                Sterilized Корм сухой для стерилизованных кошек, с тунцом, 1.5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom.html?offer=110849,1199,899₽,Wellkiss
1050751,"
		                Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 4 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=138270,Отсутствует,2169₽,Ownat
1044812,"
		                Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 3 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-sterilizovannyh-koshek-bezzernovoy-s-kuricey.html?offer=124629,Отсутствует,2745₽,Ownat
1000715,"
		                Sterilised 37 сухой корм для стерилизованных кошек с 1 до 7 лет, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sterilised_37_suhoy_korm_dlya_sterilizovannyh_koshek.html?offer=45708,449,2275₽,Royal Canin
1054523,"
		                Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 8 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-steril-s-yagnenkom.html?offer=148185,Отсутствует,2924₽,Wellkiss
1040175,"
		                Сухой корм для стерилизованных кошек, четыре вида мяса, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112529,Отсутствует,2569₽,Grandorf
1043146,"
		                N&D PRIME сухой корм для стерилизованных кошек, с курицей и гранатом, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-neutered-chicken-pomegranate-adult-300g.html?offer=119901,Отсутствует,2725₽,Farmina
1027893,"
		                Sterilised корм для стерилизованных кошек с пониженным содержанием калорий, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-sterilised-korm-dlya-sterilizovannyh-koshek-1-5-kg.html?offer=81095,Отсутствует,1615₽,Monge
1042263,"
		                Adult Sterilized Ultra Сухой корм для стерилизованных кошек, с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-sterilizovannyh-koshek-s-indeykoy.html?offer=117421,Отсутствует,1695₽,Ownat
1054710,"
		                Корм сухой для стерилизованных кошек, с лососем, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-lososem.html?offer=148712,1499,1274₽,Mealfeel
1044815,"
		                Adult Grain Free Сухой корм для взрослых кошек, с курицей и индейкой, 1 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/gf-prime-korm-suhoy-dlya-vzroslyh-koshek-s-kuricey-i-indeykoy.html?offer=124631,Отсутствует,1245₽,Ownat
1054714,"
		                Корм сухой для стерилизованных кошек, с ягненком, 7,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom1.html?offer=148720,Отсутствует,6799₽,Mealfeel
1026803,"
		                Sterilised 7+ корм для стерилизованных кошек старше 7 лет, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-royal-kanin-sterilayzd-7-pak-400-g.html?offer=77326,Отсутствует,1707₽,Royal Canin
1040167,"
		                Сухой корм для домашних кошек, ягненок с индейкой, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-yagnenok-s-risom-400g.html?offer=112517,Отсутствует,2365₽,Grandorf
1027904,"
		                Monoprotein Sterilised корм для стерилизованных кошек, с уткой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-monoprotein-sterilized-duck-korm-dlya-sterilizovannyh-koshek-s-u.html?offer=81113,Отсутствует,1719₽,Monge
1040784,"
		                Adult Sterilized Grain Free Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-gf-prime-dlya-sterilizovannyh-koshek-1-kg.html?offer=113385,Отсутствует,1315₽,Ownat
1004622,"
		                Delicate сухой корм для взрослых кошек при чувствительном пищеварении с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Delicate_suhoy_korm_dlya_koshek_s_chuvstvitelnym_pishchevareniem_indeykaris.html?offer=43214,Отсутствует,1492₽,Pro Plan ®
1040173,"
		                Сухой корм для домашних кошек, четыре вида мяса, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-chetyre-vida-myasa-s-burym-risom-400g.html?offer=112526,Отсутствует,2569₽,Grandorf
1043142,"
		                N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-lamb-blueberry-adult-300g.html?offer=119896,Отсутствует,2725₽,Farmina
1004621,"
		                Sterilised Сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации, с кроликом, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_kuritsakrolik.html?offer=41891,Отсутствует,1492₽,Pro Plan ®
1000862,"
		                Urinary S/O LP34 корм для кошек при заболеваниях дистального отдела мочевыделительной системы, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Urinary_SO_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42570,Отсутствует,2285₽,Royal Canin
1043181,"
		                Vet Life Gastrointestinal диетический сухой корм для кошек при заболеваниях ЖКТ, с курицей, 2кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-gastro-intestinal-400-gr.html?offer=120008,Отсутствует,3045₽,Farmina
1000002,"
		                Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с лососем, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshekosostunets.html?offer=41879,1755,1492₽,Pro Plan ®
1028267,"
		                Urinary корм для кошек для профилактики мочекаменной болезни, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-urinary-korm-dlya-koshek-profilaktika-mkb-1-5-kg.html?offer=82035,Отсутствует,1615₽,Monge
1054707,"
		                Корм сухой для кошек с чувствительным пищеварением, с индейкой и лососем, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-indeykoy-i-lososem.html?offer=148706,Отсутствует,1499₽,Mealfeel
1050748,"
		                Classic Сухой корм для кошек Ежедневная забота, с курицей, 1.5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-daily-care-s-kuricey.html?offer=138252,Отсутствует,825₽,Ownat
1003903,"
		                Maine Coon Adult корм для кошек породы мейн-кун старше 15 месяцев, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_31_Adult_suhoy_korm_dlya_koshek_porody_Meyn_Kun.html?offer=41942,Отсутствует,2737₽,Royal Canin
1051884,"
		                Indoor Сухой корм для кошек, с ягненком, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/indoor-suhoy-korm-dlya-koshek-s-yagnenkom.html?offer=140799,1599,1279₽,Grandin
1054703,"
		                Корм сухой для котят, с курицей и индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-kotyat-s-kuricey-i-indeykoy.html?offer=148698,1499,1274₽,Mealfeel
1040165,"
		                Сухой корм для котят, ягненок с индейкой, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-kotyat-yagnenok-s-risom-400g.html?offer=112514,Отсутствует,2365₽,Grandorf
1003547,"
		                Gastro Intestinal GI32 корм для кошек при лечении ЖКТ, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Gastro_Intestinal_GI_32_dieticheskiy_suhoy_korm_dlya_koshek_pri_narusheniyah_pishchevareniya.html?offer=48181,Отсутствует,3395₽,Royal Canin
1016698,"
		                Sterilised сухой корм для пожилых кошек для стерилизованных с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Sterilised_suhoy_korm_dlya_koshek_starshe_7et_indeyka.html?offer=41900,1755,1492₽,Pro Plan ®
1040169,"
		                Сухой корм для стерилизованных кошек, кролик с индейкой, 2кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-sterilizovannyh-koshek-krolik-s-risom-400g.html?offer=112520,Отсутствует,2365₽,Grandorf
1000111,"
		                Science Plan Sterilised Cat сухой корм для кошек и котят, с курицей, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotov_6_mes_6et.html?offer=46720,Отсутствует,1699₽,Hill's
1050318,"
		                OCEAN CAT корм сухой для стерилизованных кошек и кастрированных котов, с сельдью и апельсином, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-oushen-ket-seld-i-apelsin-dlya-sterilizovannyh-koshek-i-kastrirovannyh-kotov-300g.html?offer=137187,Отсутствует,2915₽,Farmina
1039532,"
		                Superpremium Cat Sterilized корм для стерилизованных кошек с курицей, 10кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=111434,Отсутствует,8195₽,Monge
1002589,"
		                Kitten 36 корм для котят в возрасте от 4 до 12 мес, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Kitten_36_suhoy_korm_dlya_kotyat_vozrast_do_12_mes_i_beremennyh_koshek.html?offer=41926,Отсутствует,1999₽,Royal Canin
1040171,"
		                Сухой корм для домашних кошек, белая рыба с индейкой, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/suhoy-korm-grandorf-dlya-domashnih-koshek-belaya-ryba-s-burym-risom-400g.html?offer=112523,Отсутствует,2365₽,Grandorf
1040789,"
		                Ultra Корм для кошек, с курицей и рисом, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ultra-korm-dlya-koshek-s-kuricey-i-risom.html?offer=113391,Отсутствует,1645₽,Ownat
1050749,"
		                Adult Classic Корм сухой для кошек, с рыбой, 1.5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/classic-korm-dlya-koshek-s-ryboy.html?offer=138258,Отсутствует,925₽,Ownat
1027896,"
		                Adult корм для кошек в возрасте от 1 года до 7 лет, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-korm-dlya-vzroslyh-koshek-1-5-kg.html?offer=81100,Отсутствует,1547₽,Monge
1004832,"
		                Veterinary Diets EN ST/OX Gastrointestinal сухой корм для котят и взрослых кошек для снижения проявлений кишечных расстройств, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_EN_dieticheskiy_suhoy_korm_dlya_koshek_pri_patologiyah_GKT.html?offer=42552,Отсутствует,2827₽,Purina
1045492,"
		                Monoprotein Sterilised Beef корм для стерилизованных кошек с говядиной, 1.5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-sterilizovannyh-koshek-s-govyadinoy.html?offer=125969,Отсутствует,1727₽,Monge
1054023,"
		                Adult Sterilized Sensitive сухой корм для стерилизованных кошек с тунцом, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom1.html?offer=146995,Отсутствует,1069₽,UNICA
1000718,"
		                Exigent 35/30 Savour Sensation корм для кошек, привередливых к вкусу продукта, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Exigent_3530_Savour_Sensation_suhoy_korm_suhoy_dlya_priveredlivyh_koshek.html?offer=45725,535,2407₽,Royal Canin
1043180,"
		                Vet Life Struvite диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-struvite-400-gr.html?offer=120007,Отсутствует,3045₽,Farmina
1056879,"
		                Sterilized Grain free Корм сухой для стерилизованных кошек, с курицей, 10 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-kuricey1.html?offer=155686,Отсутствует,8999₽,Grandin
1000001,"
		                Sterilised сухой корм для взрослых кошек для поддержания здоровья почек после стерилизации с индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_indeykakuritsa.html?offer=42922,Отсутствует,1492₽,Pro Plan ®
1004588,"
		                Fibre Response FR31 диета для кошек при нарушениях пищеварения, 2 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Fibre_Response_FR31_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_GKT.html?offer=42589,Отсутствует,3769₽,Royal Canin
1002394,"
		                Veterinary Diets UR ST/OX Urinary сухой корм для взрослых кошек для взрослых кошек при болезни нижних отделов мочевыводящих путей, с курицей, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_UR_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html?offer=42548,Отсутствует,2569₽,Purina
1043130,"
		                N&D PRIME сухой корм для котят, с курицей и гранатом, 1,5кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-chicken-pomegranate-kitten-300g.html?offer=119881,Отсутствует,2995₽,Farmina
1002271,"
		                Veterinary Diets HA ST/OX Hypoallergenic сухой корм для котят и взрослых кошек для всех пород для снижения пищевой непереносимости ингредиентов и питательных веществ, 1,3 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Purina_Veterinary_Diets_NA_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_allergii.html?offer=42544,Отсутствует,2895₽,Purina
1054705,"
		                Корм сухой для кошек старше 7 лет, с курицей и индейкой, 1,5 кг	                ",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-starshe-7-let-s-kuricey-i-indeykoy.html?offer=148702,1499,1274₽,Mealfeel
